system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
13_0,0,0.11603043,0.524,0.36,10.38,0.15003479,348,21.78,0,0.19846739,0.62,26,0.16652825,0,0.25949565,0.23073043,-2.1267356671483713,1.23,180.0,209,224,"2/25/24, 12:00 AM",BUNDI,255,2024-12-31T00:00:00,8.17,3.2074227,478,465,313,311,3.7047918,2024-01-01T00:00:00,30.54083333333334,Beejanta,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.85908756699291,25.650090380870964]}"
15_0,0,0.11717045,0.984,0.39,7.09,0.1397591,337,6.398,0,0.22127046,0.827586206896552,30,0.15547273,0,0.23314546,0.19551137,-1.8318614458842146,2.534,227.91376,316,330,"3/13/24, 12:00 AM",BUNDI,334,2024-12-31T00:00:00,8.01,3.142966,382,375,303,296,2.7654536,2024-01-01T00:00:00,30.550444444444437,Basoli,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38316012946639,25.426948864295674]}"
16_0,0,0.09037273,0.326,0.25,4.906,0.11815,498,25.58,0,0.285325,0.71,38,0.133575,0,0.29333183,0.22730455,-1.9885533845923855,0.47,253.29628,242,244,"3/12/24, 12:00 AM",BUNDI,303,2024-12-31T00:00:00,8.27,3.0043619,435,434,322,321,3.2235174,2024-01-01T00:00:00,30.682684210526315,Rajlawata,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.89088792805074,25.808283702404413]}"
17_0,0,0.09037778,0.282,0.25,2.24,0.13064444,334,3.184,0,0.3185222,0.41,20,0.15602444,0,0.32902223,0.2642889,-0.7765404706690406,1.654,344.51294,254,272,"3/12/24, 12:00 AM",BUNDI,328,2024-12-31T00:00:00,8.03,3.2547252,414,409,332,319,3.8439674,2024-01-01T00:00:00,30.60863157894736,Thana,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39798233165436,25.54310103053233]}"
18_0,0,0.067217775,0.43,0.21,6.53,0.09630222,423,6.37,0,0.27682889,0.706896551724138,42,0.10785556,0,0.24536444,0.18503556,4.394173805121586,0.65,132.07593,246,260,"3/13/24, 12:00 AM",BUNDI,293,2024-12-31T00:00:00,8.38,3.2396724,392,385,362,355,1.3838085,2024-01-01T00:00:00,30.426342857142863,Badodiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.56965038244961,25.470606987103885]}"
19_0,0,0.07611522,0.68,0.33,6.54,0.10453044,290,15.47,0,0.25106522,0.896551724137931,34,0.1216413,0,0.2518978,0.19130869,0.4697448834563085,0.91,47.93178,257,292,"3/13/24, 12:00 AM",BUNDI,285,2024-12-31T00:00:00,8.4,3.2659335,374,357,369,351,1.3840146,2024-01-01T00:00:00,30.344378378378376,Badodiya,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.56560796367107,25.502946337332187]}"
20_0,0,0.082811765,0.992,0.4,6.322,0.11259412,280,29.24,0,0.26006353,0.3,42,0.13075411,0,0.28867882,0.2246753,-0.4494156640363517,0.634,312.01495,228,236,"3/13/24, 12:00 AM",BUNDI,278,2024-12-31T00:00:00,8.63,3.3014467,472,462,300,302,1.3854414,2024-01-01T00:00:00,30.656894736842105,Jarkhoda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.06066951674933,25.726357348492712]}"
21_0,0,0.09893809,0.742,0.86,5.094,0.13587381,367,2.262,0,0.2700869,0.33,36,0.17554405,0,0.34961668,0.29534167,-2.4468384828902714,1.276,90.0,250,274,"3/13/24, 12:00 AM",BUNDI,260,2024-12-31T00:00:00,8.28,2.8176904,444,429,305,297,5.1132245,2024-01-01T00:00:00,30.834571428571437,Kethooda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.73781500363678,25.23803316004534]}"
22_0,0,0.11150444,1.282,0.38,11.09,0.14482667,517,12.08,0,0.30178446,0.48,28,0.16541333,0,0.3023578,0.2515422,-0.9323685094382413,0.606,114.313286,272,287,"3/22/24, 12:00 AM",BUNDI,239,2024-12-31T00:00:00,8.29,3.0343304,393,383,335,330,2.2515318,2024-01-01T00:00:00,30.46527777777778,Badoonda,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.84534334314588,25.3655040988619]}"
23_0,0,0.09627333,0.95,0.48,4.95,0.13135555,421,9.91,0,0.26643112,0.272727272727273,42,0.16615556,0,0.29823777,0.24461333,-2.054773449959504,0.64,323.56482,304,326,"3/13/24, 12:00 AM",BUNDI,338,2024-12-31T00:00:00,8.27,3.142966,412,400,284,274,3.4543185,2024-01-01T00:00:00,30.558702702702696,Owan,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.36240904640323,25.43368622892657]}"
