system:index,B,BLUE,Cu,EC,Fe,GREEN,K,Mn,N,NIR,OC,P,RED,S,SWIR1,SWIR2,TWI,Zn,aspect,clay05,clay515,date,district,elevation,end_date,pH,precipitation,sand05,sand515,silt05,silt515,slope,start_date,temp,village,.geo
13_0,0,0.16270626,0.48,0.1,3.18,0.18339445,280,4.42,0,0.25704724,0.41,21,0.20138541,10,0.29663193,0.25920138,-1.9726655494338243,0.18,253.16397,264,270,"4/30/24, 12:00 AM",SIROHI,372,2024-12-31T00:00:00,7.7,3.8280988,357,356,379,374,3.1989615,2024-01-01T00:00:00,30.467611111111108,Gharat,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.04448611878962,24.79525355650283]}"
14_0,0,0.057752326,0.58,0.3,3.42,0.081562795,280,4.26,0,0.25941396,0.45,40,0.09028953,12,0.25371978,0.18367326,-2.391827279518569,0.24,161.75981,233,255,"4/5/24, 12:00 AM",SIROHI,410,2024-12-31T00:00:00,7.6,3.882397,395,384,372,362,9.672654,2024-01-01T00:00:00,30.465179487179487,Upla Khejra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.94450362766713,24.452725938668056]}"
15_0,0,0.06750376,0.58,0.29,3.44,0.097478196,300,3.44,0,0.260603,0.42,24,0.13423534,10,0.3554782,0.2614579,1.3591363656353863,0.32,227.6725,355,369,"3/30/24, 12:00 AM",SIROHI,528,2024-12-31T00:00:00,8.6,3.7610443,324,320,321,310,2.752664,2024-01-01T00:00:00,30.59933333333334,Bosa,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.94827655186043,24.382657346506733]}"
16_0,0,0.08987755,0.58,0.38,4.24,0.12067347,324,4.26,0,0.32133162,0.4,38,0.13437653,10,0.31270918,0.2363398,-1.6148347966818464,0.21,114.44011,212,222,"4/15/24, 12:00 AM",SIROHI,278,2024-12-31T00:00:00,7.7,5.08904,435,428,353,350,2.240571,2024-01-01T00:00:00,30.404611111111105,Sirodi,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.66072582941376,24.642180632088863]}"
17_0,0,0.103523,0.41,0.88,4.21,0.143549,180,3.24,0,0.298325,0.49,36,0.191031,10,0.370256,0.307692,-1.8249821458414555,0.24,132.21428,239,243,"4/15/24, 12:00 AM",SIROHI,283,2024-12-31T00:00:00,8.1,4.0243907,417,414,343,342,2.758645,2024-01-01T00:00:00,30.69713513513513,Tawari,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.6135642769975,24.878796877925943]}"
18_0,0,0.093723,0.44,0.35,2.68,0.13000101,248,3.68,0,0.284385,0.3,36,0.164712,10,0.334379,0.284963,6.202462064962887,0.48,114.37419,206,209,"4/16/24, 12:00 AM",SIROHI,222,2024-12-31T00:00:00,8,3.4494646,413,410,382,381,2.2462537,2024-01-01T00:00:00,30.691621621621618,Jawal,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.77175759853094,25.02082052434524]}"
19_0,0,0.09358958,0.32,0.26,6.24,0.112564586,240,2.68,0,0.19247396,0.35,58,0.12305417,12,0.22355938,0.17707187,0.6637697886863528,0.26,227.71404,224,232,"4/1/24, 12:00 AM",SIROHI,290,2024-12-31T00:00:00,7.7,4.4729357,410,409,366,358,1.3782238,2024-01-01T00:00:00,30.501444444444456,Bharja,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86069081165877,24.56618315905235]}"
20_0,0,0.089081,0.26,0.21,3.47,0.13357499,185,3.47,0,0.29008698,0.46,42,0.199906,10,0.369758,0.335673,2.0487344043273867,0.26,-0.0,216,228,"3/15/24, 12:00 AM",SIROHI,215,2024-12-31T00:00:00,7.6,3.4029362,421,411,363,360,0.0,2024-01-01T00:00:00,30.742105263157896,Manora,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.7219011002623,25.045075037016467]}"
21_0,0,0.093016304,0.41,0.33,3.69,0.12813261,240,5.24,0,0.32912716,0.41,30,0.15141413,11.2,0.3323837,0.26857826,0.23199242860571537,0.29,208.85709,273,278,"6/3/24, 12:00 AM",SIROHI,405,2024-12-31T00:00:00,7.9,3.2705102,377,371,349,351,2.1170154,2024-01-01T00:00:00,30.601081081081077,Kotra,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.97199207536119,24.857776300277546]}"
22_0,0,0.07926458,0.32,0.3,2.68,0.10928125,340,2.68,0,0.30566147,0.54,38,0.117322914,10,0.2773125,0.20514792,-0.1344829389006266,0.26,270.0,211,223,"3/7/24, 12:00 AM",SIROHI,326,2024-12-31T00:00:00,8.2,4.0916305,383,380,406,397,1.0202208,2024-01-01T00:00:00,30.47912820512821,Rohira,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.95474442190608,24.630861859508958]}"
